id,r,x0,y0,xf,yf,mass,Δx,Δy,Δr,dx,dy,dr,height_strat,perturb_strengh,perturb_x,perturb_y
1,0.51890004,27.74329,13.793607,27.74165,13.804853,0.27914584,0.0016413471,0.011246734,0.011365872,19.596943,4.1005836,20.021362,2,0.5,47.340233,9.693023
2,0.43805233,32.541145,0.0,32.535137,0.0,0.1989371,0.0060077976,0.0,0.0060077976,14.799087,-9.693023,17.690891,0,0.5,47.340233,9.693023
3,0.46382824,16.554369,2.0369456,16.547215,2.0365415,0.22303765,0.0071556135,0.000403977,0.007167008,19.214136,-7.656078,20.683292,0,0.5,47.340233,9.693023
4,0.40167233,19.997705,0.0,20.00154,0.0,0.167266,0.003833953,0.0,0.003833953,22.65747,-9.693023,24.643776,0,0.5,47.340233,9.693023
5,0.51837075,11.947057,5.870278,11.955928,5.8785067,0.27857667,0.008870576,0.008228835,0.012099621,14.606824,-3.822745,15.098764,1,0.5,47.340233,9.693023
6,0.527762,27.190445,8.853497,27.182413,8.866696,0.28876197,0.008031851,0.013199992,0.0154515505,20.149788,-0.8395265,20.16727,1,0.5,47.340233,9.693023
7,0.4711925,27.040836,4.289893,27.03799,4.2875943,0.23017628,0.0028447337,0.0022991041,0.003657648,20.299397,-5.40313,21.006174,0,0.5,47.340233,9.693023
8,0.50087607,33.364937,5.7048106,33.345448,5.7174454,0.26009044,0.019489957,0.0126344,0.023226848,13.975295,-3.9882123,14.533228,1,0.5,47.340233,9.693023
9,0.49824244,17.064224,17.638044,17.058998,17.657623,0.25736248,0.005225314,0.01957868,0.020263974,19.723991,7.945021,21.264034,3,0.5,47.340233,9.693023
10,0.42342293,30.131136,9.620572,30.122128,9.63894,0.18587138,0.009008311,0.018367335,0.020457484,17.209097,-0.07245097,17.20925,1,0.5,47.340233,9.693023
11,0.5062978,43.05444,13.179062,43.028545,13.19308,0.26575166,0.025894076,0.014017471,0.02944474,4.2857924,3.486039,5.5245347,2,0.5,47.340233,9.693023
12,0.49452487,27.59626,16.74975,27.599863,16.764336,0.25353625,0.003604073,0.014584764,0.015023471,19.743973,7.056727,20.967161,3,0.5,47.340233,9.693023
13,0.4776575,46.644398,7.4833508,46.711067,7.2852263,0.23653588,0.06666959,0.1981244,0.20904092,0.69583684,-2.2096722,2.3166442,1,0.5,47.340233,9.693023
14,0.46713054,5.02872,0.0,5.0345535,0.0,0.22622487,0.005833625,0.0,0.005833625,7.688487,-9.693023,12.372046,0,0.5,47.340233,9.693023
15,0.53729194,8.902578,9.933172,8.927253,9.942234,0.29928467,0.024674961,0.009061081,0.02628606,11.5623455,0.24014945,11.564839,1,0.5,47.340233,9.693023
16,0.49926636,42.08282,0.0,42.075638,0.0,0.25842136,0.00718276,0.0,0.00718276,5.2574105,-9.693023,11.027016,0,0.5,47.340233,9.693023
17,0.4719251,16.406805,16.908518,16.40464,16.92389,0.23089258,0.0021661096,0.015371408,0.015523281,19.066572,7.2154946,20.38621,3,0.5,47.340233,9.693023
